Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:05:00,7.670100E-02,1.478273E+03,3.196802E-01,3.325658E+03,3.844359E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.120626E+03,2.402292E-01,2.497573E+03,2.875969E+03,1.473748E-01,4.276281E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.647700E+02,1.359669E-01,1.408716E+03,1.628036E+03,9.197441E-02,2.623115E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.120626E+03,2.040578E-01,2.094511E+03,2.446783E+03,1.470130E-01,4.269413E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.647700E+02,1.515804E-01,1.582700E+03,1.811481E+03,9.143613E-02,2.612897E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:10:00,7.670100E-02,1.482281E+03,3.194052E-01,3.318585E+03,3.837063E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.123665E+03,2.394118E-01,2.485427E+03,2.863250E+03,1.473559E-01,4.275921E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.665723E+02,1.355087E-01,1.401809E+03,1.620781E+03,9.196437E-02,2.622924E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.123665E+03,2.034713E-01,2.084937E+03,2.436693E+03,1.469935E-01,4.269043E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.665723E+02,1.509085E-01,1.573411E+03,1.801781E+03,9.142606E-02,2.612705E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:15:00,7.670100E-02,1.486288E+03,3.191332E-01,3.311546E+03,3.829801E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.126703E+03,2.386047E-01,2.473395E+03,2.850649E+03,1.473370E-01,4.275562E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.683746E+02,1.350562E-01,1.394963E+03,1.613592E+03,9.195436E-02,2.622734E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.126703E+03,2.028931E-01,2.075456E+03,2.426701E+03,1.469741E-01,4.268674E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.683746E+02,1.502487E-01,1.564257E+03,1.792221E+03,9.141603E-02,2.612515E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:20:00,7.670100E-02,1.490296E+03,3.188640E-01,3.304540E+03,3.822572E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.129741E+03,2.378077E-01,2.461476E+03,2.838166E+03,1.473181E-01,4.275205E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.701769E+02,1.346092E-01,1.388180E+03,1.606467E+03,9.194439E-02,2.622545E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.129741E+03,2.023233E-01,2.066068E+03,2.416807E+03,1.469548E-01,4.268307E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.701769E+02,1.496008E-01,1.555235E+03,1.782797E+03,9.140603E-02,2.612325E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:25:00,7.670100E-02,1.494304E+03,3.185977E-01,3.297564E+03,3.815375E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.132779E+03,2.370207E-01,2.449668E+03,2.825801E+03,1.472994E-01,4.274849E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.719792E+02,1.341677E-01,1.381458E+03,1.599408E+03,9.193446E-02,2.622356E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.132779E+03,2.017616E-01,2.056771E+03,2.407011E+03,1.469355E-01,4.267941E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.719792E+02,1.489643E-01,1.546340E+03,1.773506E+03,9.139608E-02,2.612136E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:30:00,7.670100E-02,1.498312E+03,3.183340E-01,3.290618E+03,3.808207E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.135817E+03,2.362436E-01,2.437971E+03,2.813551E+03,1.472807E-01,4.274494E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.737815E+02,1.337316E-01,1.374797E+03,1.592413E+03,9.192457E-02,2.622168E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.135817E+03,2.012080E-01,2.047564E+03,2.397310E+03,1.469163E-01,4.267577E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.737815E+02,1.483389E-01,1.537569E+03,1.764342E+03,9.138616E-02,2.611948E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:35:00,7.670100E-02,1.502320E+03,3.180893E-01,3.283883E+03,3.801281E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.138856E+03,2.354795E-01,2.426419E+03,2.801458E+03,1.472814E-01,4.274508E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.755838E+02,1.333023E-01,1.368210E+03,1.585498E+03,9.192496E-02,2.622176E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.138856E+03,2.006678E-01,2.038506E+03,2.387777E+03,1.469170E-01,4.267591E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.755838E+02,1.477262E-01,1.528939E+03,1.755328E+03,9.138655E-02,2.611955E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:40:00,7.670100E-02,1.506328E+03,3.178470E-01,3.277175E+03,3.794383E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.141894E+03,2.347212E-01,2.414931E+03,2.789430E+03,1.472821E-01,4.274521E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.773861E+02,1.328759E-01,1.361657E+03,1.578617E+03,9.192534E-02,2.622183E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.141894E+03,2.001316E-01,2.029493E+03,2.378288E+03,1.469177E-01,4.267604E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.773861E+02,1.471216E-01,1.520399E+03,1.746405E+03,9.138693E-02,2.611963E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:45:00,7.670100E-02,1.510335E+03,3.176071E-01,3.270494E+03,3.787511E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.144932E+03,2.339685E-01,2.403505E+03,2.777462E+03,1.472828E-01,4.274534E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.791884E+02,1.324524E-01,1.355135E+03,1.571766E+03,9.192573E-02,2.622190E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.144932E+03,1.995993E-01,2.020524E+03,2.368842E+03,1.469185E-01,4.267618E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.791884E+02,1.465247E-01,1.511945E+03,1.737570E+03,9.138732E-02,2.611970E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:50:00,7.670100E-02,1.514343E+03,3.173694E-01,3.263837E+03,3.780665E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.147970E+03,2.332212E-01,2.392139E+03,2.765556E+03,1.472835E-01,4.274548E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.809907E+02,1.320317E-01,1.348645E+03,1.564947E+03,9.192611E-02,2.622198E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.147970E+03,1.990707E-01,2.011596E+03,2.359437E+03,1.469192E-01,4.267632E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.809907E+02,1.459353E-01,1.503575E+03,1.728819E+03,9.138770E-02,2.611977E+03,3.449196E-02,0.000000E+00,0.000000E+00
00:55:00,7.670100E-02,1.518351E+03,3.171339E-01,3.257205E+03,3.773843E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.151008E+03,2.324792E-01,2.380833E+03,2.753707E+03,1.472842E-01,4.274561E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.827930E+02,1.316137E-01,1.342185E+03,1.558158E+03,9.192649E-02,2.622205E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.151008E+03,1.985458E-01,2.002708E+03,2.350072E+03,1.469199E-01,4.267645E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.827930E+02,1.453531E-01,1.495285E+03,1.720149E+03,9.138808E-02,2.611985E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:00:00,7.670100E-02,1.522359E+03,3.169005E-01,3.250597E+03,3.767046E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.154047E+03,2.317423E-01,2.369583E+03,2.741916E+03,1.472849E-01,4.274574E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.845953E+02,1.311984E-01,1.335755E+03,1.551398E+03,9.192687E-02,2.622212E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.154047E+03,1.980244E-01,1.993859E+03,2.340745E+03,1.469206E-01,4.267659E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.845953E+02,1.447778E-01,1.487072E+03,1.711557E+03,9.138846E-02,2.611992E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:05:00,7.670100E-02,1.525031E+03,3.166691E-01,3.245346E+03,3.761630E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.156072E+03,2.310185E-01,2.359493E+03,2.731317E+03,1.472856E-01,4.274587E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.857968E+02,1.307905E-01,1.330008E+03,1.545342E+03,9.192724E-02,2.622219E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.156072E+03,1.975141E-01,1.986148E+03,2.332590E+03,1.469213E-01,4.267672E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.857968E+02,1.442140E-01,1.479589E+03,1.703715E+03,9.138884E-02,2.611999E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:10:00,7.670100E-02,1.527703E+03,3.164396E-01,3.240118E+03,3.756236E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.158098E+03,2.303076E-01,2.349545E+03,2.720870E+03,1.472863E-01,4.274600E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.869984E+02,1.303896E-01,1.324339E+03,1.539368E+03,9.192762E-02,2.622226E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.158098E+03,1.970143E-01,1.978553E+03,2.324560E+03,1.469220E-01,4.267686E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.869984E+02,1.436616E-01,1.472231E+03,1.696006E+03,9.138922E-02,2.612006E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:15:00,7.670100E-02,1.530375E+03,3.162121E-01,3.234911E+03,3.750864E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.160123E+03,2.296095E-01,2.339740E+03,2.710576E+03,1.472870E-01,4.274613E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.881999E+02,1.299958E-01,1.318750E+03,1.533480E+03,9.192799E-02,2.622233E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.160123E+03,1.965253E-01,1.971079E+03,2.316663E+03,1.469227E-01,4.267699E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.881999E+02,1.431203E-01,1.464998E+03,1.688426E+03,9.138959E-02,2.612013E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:20:00,7.670100E-02,1.533046E+03,3.159865E-01,3.229725E+03,3.745513E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.162148E+03,2.289243E-01,2.330080E+03,2.700434E+03,1.472877E-01,4.274626E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.894014E+02,1.296094E-01,1.313243E+03,1.527680E+03,9.192836E-02,2.622240E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.162148E+03,1.960474E-01,1.963728E+03,2.308900E+03,1.469234E-01,4.267712E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.894014E+02,1.425900E-01,1.457887E+03,1.680976E+03,9.138996E-02,2.612020E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:25:00,7.670100E-02,1.535718E+03,3.157628E-01,3.224560E+03,3.740184E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.164174E+03,2.282520E-01,2.320563E+03,2.690448E+03,1.472883E-01,4.274639E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.906030E+02,1.292305E-01,1.307818E+03,1.521969E+03,9.192873E-02,2.622247E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.164174E+03,1.955807E-01,1.956502E+03,2.301275E+03,1.469241E-01,4.267725E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.906030E+02,1.420706E-01,1.450898E+03,1.673654E+03,9.139033E-02,2.612027E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:30:00,7.670100E-02,1.538390E+03,3.155409E-01,3.219416E+03,3.734876E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.166199E+03,2.275929E-01,2.311192E+03,2.680618E+03,1.472890E-01,4.274652E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.918045E+02,1.288590E-01,1.302478E+03,1.516350E+03,9.192910E-02,2.622254E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.166199E+03,1.951254E-01,1.949402E+03,2.293788E+03,1.469248E-01,4.267739E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.918045E+02,1.415620E-01,1.444029E+03,1.666460E+03,9.139070E-02,2.612034E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:35:00,7.670100E-02,1.541062E+03,3.153210E-01,3.214293E+03,3.729591E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.168225E+03,2.269386E-01,2.301877E+03,2.670842E+03,1.472897E-01,4.274665E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.930060E+02,1.284902E-01,1.297167E+03,1.510758E+03,9.192946E-02,2.622261E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.168225E+03,1.946735E-01,1.942342E+03,2.286338E+03,1.469255E-01,4.267752E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.930060E+02,1.410592E-01,1.437225E+03,1.659329E+03,9.139107E-02,2.612041E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:40:00,7.670100E-02,1.543734E+03,3.151030E-01,3.209192E+03,3.724327E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.170250E+03,2.262896E-01,2.292619E+03,2.661122E+03,1.472904E-01,4.274677E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.942076E+02,1.281247E-01,1.291892E+03,1.505203E+03,9.192983E-02,2.622268E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.170250E+03,1.942261E-01,1.935330E+03,2.278937E+03,1.469262E-01,4.267765E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.942076E+02,1.405621E-01,1.430484E+03,1.652263E+03,9.139143E-02,2.612048E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:45:00,7.670100E-02,1.546406E+03,3.148869E-01,3.204112E+03,3.719086E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.172276E+03,2.256457E-01,2.283419E+03,2.651458E+03,1.472910E-01,4.274690E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.954091E+02,1.277621E-01,1.286650E+03,1.499680E+03,9.193019E-02,2.622275E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.172276E+03,1.937824E-01,1.928362E+03,2.271578E+03,1.469269E-01,4.267778E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.954091E+02,1.400707E-01,1.423807E+03,1.645259E+03,9.139179E-02,2.612055E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:50:00,7.670100E-02,1.549078E+03,3.146728E-01,3.199054E+03,3.713867E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.174301E+03,2.250068E-01,2.274274E+03,2.641849E+03,1.472917E-01,4.274703E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.966106E+02,1.274023E-01,1.281439E+03,1.494187E+03,9.193055E-02,2.622282E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.174301E+03,1.933424E-01,1.921433E+03,2.264258E+03,1.469276E-01,4.267791E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.966106E+02,1.395848E-01,1.417191E+03,1.638317E+03,9.139216E-02,2.612062E+03,3.449196E-02,0.000000E+00,0.000000E+00
01:55:00,7.670100E-02,1.551750E+03,3.144605E-01,3.194016E+03,3.708670E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.176327E+03,2.243729E-01,2.265185E+03,2.632296E+03,1.472924E-01,4.274715E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.978121E+02,1.270451E-01,1.276257E+03,1.488724E+03,9.193091E-02,2.622289E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.176327E+03,1.929059E-01,1.914544E+03,2.256977E+03,1.469282E-01,4.267803E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.978121E+02,1.391042E-01,1.410634E+03,1.631435E+03,9.139251E-02,2.612069E+03,3.449196E-02,0.000000E+00,0.000000E+00
02:00:00,7.670100E-02,1.554422E+03,3.142500E-01,3.189000E+03,3.703495E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.178352E+03,2.237439E-01,2.256150E+03,2.622796E+03,1.472930E-01,4.274728E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.990137E+02,1.266907E-01,1.271106E+03,1.483291E+03,9.193127E-02,2.622296E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.178352E+03,1.924729E-01,1.907693E+03,2.249734E+03,1.469289E-01,4.267816E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.990137E+02,1.386288E-01,1.404135E+03,1.624612E+03,9.139287E-02,2.612076E+03,3.449196E-02,0.000000E+00,0.000000E+00
02:05:00,7.670100E-02,1.556425E+03,3.140414E-01,3.184671E+03,3.699021E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.179871E+03,2.231229E-01,2.247712E+03,2.613910E+03,1.472937E-01,4.274740E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.999148E+02,1.263414E-01,1.266313E+03,1.478226E+03,9.193162E-02,2.622302E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.179871E+03,1.920473E-01,1.901431E+03,2.243098E+03,1.469296E-01,4.267829E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,6.999148E+02,1.381610E-01,1.398021E+03,1.618184E+03,9.139323E-02,2.612082E+03,3.449196E-02,0.000000E+00,0.000000E+00
02:10:00,7.670100E-02,1.558429E+03,3.138346E-01,3.180363E+03,3.694566E+03,7.670100E-02,3.406656E+03,7.670100E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.181390E+03,2.225099E-01,2.239362E+03,2.605115E+03,1.472943E-01,4.274753E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,7.008160E+02,1.259972E-01,1.261577E+03,1.473223E+03,9.193198E-02,2.622309E+03,3.449196E-02,0.000000E+00,0.000000E+00,5.814432E-02,1.181390E+03,1.916291E-01,1.895253E+03,2.236552E+03,1.469303E-01,4.267842E+03,5.814432E-02,0.000000E+00,0.000000E+00,3.449196E-02,7.008160E+02,1.377002E-01,1.391984E+03,1.611838E+03,9.139358E-02,2.612089E+03,3.449196E-02,0.000000E+00,0.000000E+00
