Time,CORE_ZN:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:SEATTLE SEATTLE TACOMA INTL A ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:SEATTLE SEATTLE TACOMA INTL A ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:05:00,7.525225E+02,3.015132E+03,3.906701E-02,2.664002E-01,2.365741E+03,2.265785E+03,1.228124E-01,2.001910E-01,1.476429E+03,1.282409E+03,7.664535E-02,1.133058E-01,2.359933E+03,1.924624E+03,1.225109E-01,1.700481E-01,1.467788E+03,1.429673E+03,7.619677E-02,1.263170E-01
00:10:00,7.517156E+02,3.012538E+03,3.902512E-02,2.661710E-01,2.365436E+03,2.258076E+03,1.227966E-01,1.995098E-01,1.476267E+03,1.278088E+03,7.663698E-02,1.129239E-01,2.359620E+03,1.919092E+03,1.224946E-01,1.695594E-01,1.467626E+03,1.423336E+03,7.618838E-02,1.257571E-01
00:15:00,7.509114E+02,3.009972E+03,3.898337E-02,2.659443E-01,2.365133E+03,2.250464E+03,1.227808E-01,1.988372E-01,1.476107E+03,1.273819E+03,7.662864E-02,1.125468E-01,2.359308E+03,1.913639E+03,1.224784E-01,1.690776E-01,1.467465E+03,1.417113E+03,7.618002E-02,1.252073E-01
00:20:00,7.501100E+02,3.007434E+03,3.894176E-02,2.657200E-01,2.364831E+03,2.242947E+03,1.227651E-01,1.981731E-01,1.475947E+03,1.269603E+03,7.662033E-02,1.121743E-01,2.358998E+03,1.908264E+03,1.224623E-01,1.686027E-01,1.467305E+03,1.411002E+03,7.617169E-02,1.246673E-01
00:25:00,7.493112E+02,3.004922E+03,3.890030E-02,2.654981E-01,2.364530E+03,2.235524E+03,1.227495E-01,1.975172E-01,1.475787E+03,1.265439E+03,7.661205E-02,1.118064E-01,2.358688E+03,1.902966E+03,1.224462E-01,1.681346E-01,1.467145E+03,1.404999E+03,7.616340E-02,1.241369E-01
00:30:00,7.485152E+02,3.002435E+03,3.885897E-02,2.652784E-01,2.364230E+03,2.228194E+03,1.227339E-01,1.968697E-01,1.475628E+03,1.261326E+03,7.660381E-02,1.114430E-01,2.358380E+03,1.897745E+03,1.224302E-01,1.676733E-01,1.466986E+03,1.399100E+03,7.615513E-02,1.236158E-01
00:35:00,7.485419E+02,3.000127E+03,3.886036E-02,2.650744E-01,2.364241E+03,2.220988E+03,1.227345E-01,1.962330E-01,1.475635E+03,1.257277E+03,7.660413E-02,1.110852E-01,2.358392E+03,1.892650E+03,1.224309E-01,1.672231E-01,1.466992E+03,1.393321E+03,7.615546E-02,1.231052E-01
00:40:00,7.485685E+02,2.997841E+03,3.886174E-02,2.648725E-01,2.364253E+03,2.213836E+03,1.227351E-01,1.956010E-01,1.475641E+03,1.253256E+03,7.660445E-02,1.107299E-01,2.358403E+03,1.887593E+03,1.224315E-01,1.667763E-01,1.466998E+03,1.387618E+03,7.615578E-02,1.226013E-01
00:45:00,7.485950E+02,2.995578E+03,3.886311E-02,2.646725E-01,2.364264E+03,2.206736E+03,1.227357E-01,1.949738E-01,1.475647E+03,1.249261E+03,7.660477E-02,1.103770E-01,2.358415E+03,1.882572E+03,1.224321E-01,1.663327E-01,1.467004E+03,1.381989E+03,7.615610E-02,1.221039E-01
00:50:00,7.486214E+02,2.993336E+03,3.886448E-02,2.644745E-01,2.364275E+03,2.199688E+03,1.227363E-01,1.943510E-01,1.475653E+03,1.245293E+03,7.660509E-02,1.100264E-01,2.358427E+03,1.877587E+03,1.224327E-01,1.658923E-01,1.467010E+03,1.376430E+03,7.615642E-02,1.216128E-01
